ID	tweet	Affect Dimension	Intensity Score
2017-En-11344	@dak2future decorations are up all over jersey already #outrage	anger	0.562
2017-En-11121	we're going to get city in the next round for a revenge.	anger	0.438
2017-En-10748	@jojojosiejay or in my case a raging moody cow lol why i buy moody cow socks lol	anger	0.389
2017-En-11559	no respect for people who force their opinions on to others yet get offended when someone does the same to them 😂	anger	0.479
2017-En-11141	here's a tip for [Name]: stop being offended. end. #offended #quit #youredumb #liveyourownlife	anger	0.479
2017-En-10919	why to have vanity sizes? now sizes s,xs ( evenxxs sometimes ) are too big,wtf?! dear corporate jerks,lithuania didn't need this. #rant #angry	anger	0.708
2017-En-11548	ultimately,#keithscott wasn't the man they were there to hand an arrest warrant to. that's what we know. that's enough to cause outrage.	anger	0.741
2017-En-10221	i genuinely think i have anger issues	anger	0.604
2017-En-11144	@magicandfangs ' just by getting lost! i don't want to see you in my eyes! ' hungary huffed and crossed their arms,looking away angrily.	anger	0.562
2017-En-11243	in fact,sometimes i don't get furious at people who wrong me,but i get furious at myself for being a fool.	anger	0.500
2017-En-11339	good luck to all fury-haney players playing this weekend at the future stars showcase in frisco,tx. #kgb #g-town #fury	anger	0.396
2017-En-10477	when you forget to mention you were bought dreamboys tickets 🙄 😂 #raging	anger	0.458
2017-En-10726	so rangers v celtic ll #revenge	anger	0.333
2017-En-11340	#scorpio's can withdraw to a quiet place after being hurt,only to think of a plan to [Name] back.	anger	0.583
2017-En-10588	@daniel_sankey @hayleyp79 haha... actually,after the doggies i'm barracking for anyone but gws!	anger	0.417
2017-En-11100	@njddanin123 i personally liked #relentless … didn't get #ourhouse #onejersey #werealldevilsinside \ ndoes nothing till a puck drops #njdevils	anger	0.354
2017-En-11426	i can see how this will end \ nin all its bitter tragedy \ ni'll give you all i have to spend \ nand you'll give nothing back to me	anger	0.542
2017-En-10687	tonight's #dragrace #allstars2 episode gave me life! yaassss queens! #teamalaska #teamkatya #revenge #bwahaha	anger	0.200
2017-En-10105	you complain all the time and then wonder why people never want to see you. you acc rile me up. stfuuu!!!	anger	0.708
2017-En-11236	everything i see of american police training seems calculated to trample human dignity,inflame outrage,and escalate confrontations.	anger	0.604
2017-En-10446	@verizonsupport thanks for saying my wife and i were getting our iphones today and then losing both of them with no eta #thanks	anger	0.479
2017-En-11634	@emmahobbs1 i did that! 3 days later my order isn't even in the same postcode as me	anger	0.542
2017-En-11678	another loss to city in the cup next 🙈 😂 😂 cmon united!	anger	0.292
2017-En-10219	unbelievable takes 10 minutes to get through to @barclaysuk then there's a fault and the call hangs up #treatcustomersfairly	anger	0.604
2017-En-11074	@jessicavalenti @nytimes i don't know... wasn't punk mostly about white men throwing tantrums?	anger	0.354
2017-En-10705	skipping meals is the national way of showing #disappointment and. #wiz	anger	0.354
2017-En-10159	@mdivincenzo9 [Name] stupid,i hate them lol #bitter	anger	0.646
2017-En-11448	@greatfallvoyagr #bitter sums it up! congrats [Name]! that's all folks #bb18 now onto #survivor!	anger	0.354
2017-En-10379	@hebertofnh any time a man who got paid to throw temper tantrums speaks up,you [Name] listen.	anger	0.521
2017-En-10248	i wonder what would happen if i were to tell some people the truth #savage #uhoh #angry	anger	0.583
2017-En-40453	cheap pout my brodcast	anger	0.232
2017-En-10797	[Name] might lose a coach tomorrow or by midnight. #yikes #offense?	anger	0.271
2017-En-10457	@simon_penn_r @antisocialjw2 has turned into a rather fiery gg radical )	anger	0.479
2017-En-10120	@foxnews @sheriffclarke @foxnewsinsider this man is an affront to our justice system.	anger	0.688
2017-En-10190	when you've still got a whole season of [Name] to watch and a stupid cunt in work ruins it for us 😭 😭 @__kirstyga #oldcunt	anger	0.625
2017-En-11210	@paulsherard @margarethaynie wow i just realized how much of a sexist pig i am! i am truly sorry to anyone i offended	anger	0.405
2017-En-11157	[Name] [Name] always held up as knowing the answers. no red. [Name] and [Name] raging! hahaha	anger	0.458
2017-En-40403	@ticcikasie1 with a frown,they let's out a distraught ' gardevoir ' saying that they wishes they had a trainer	anger	0.417
2017-En-11188	some of the casuals tweets that [Name] has faved are making me gag	anger	0.646
2017-En-11620	@supergold2002 terence - got a lot of anger issues from my family and school.	anger	0.625
2017-En-11409	@evan_mcmullin [Name] spent their campaign dividing people up and pitting them against each other. their message is to fear and resent the ' other '	anger	0.604
2017-En-10953	@etherealmystic_ they was winning this war that had been raging on inside of their mind. the desire and love all rolling into something they -	anger	0.333
2017-En-11166	@callumpinner you came in at silly o'clock and woke me up that's what happened #wasted #fuming	anger	0.771
2017-En-11143	finally uploaded the file i needed to the university server's drop box. it took like half an hour and a lot of cursing and anger on my part	anger	0.521
2017-En-40317	my nephew sees that i have a frown on my face and they tells me ' you're beautiful '! 😢 💞 😩	anger	0.229
2017-En-10337	actually be arsed with my sister sometimes,they controls the tv 90 % of the time and when i watch one thing they gets in a huff 🙄	anger	0.542
2017-En-10527	@thomeagle just to help maintain and boost our status as a world class centre for education,culture and tolerance. #outrage	anger	0.438
2017-En-10141	there's this bpharm 4 guy [Name] that guy brings anger into my life. when i see them nje like darkness fills me @ramatsobanem will know	anger	0.667
2017-En-11309	says,who are you to compared me with the others ; i'm just human. #lit #fire	anger	0.500
2017-En-11173	no,nipples don't offend me lol. but it's sad to me to see women purposely flaunting / sexualizing their own bodies in a very immodest way.	anger	0.521
2017-En-10938	i hope my hustle don't offend nobody	anger	0.292
2017-En-11626	ramos does what they does best burning haters with their head	anger	0.509
2017-En-11112	@megmuphet i wasn't meaning to offend you. i was saying from personal experience. kids got placed into these classes and they take advantage	anger	0.417
2017-En-10651	if my luck the rest of fall goes anything like today,i think i'm going to like this season. #bestdayever #magic #work	anger	0.375
2017-En-10827	follow me on snapchat 👻 carlabtst 15 #snapchat	anger	0.188
2017-En-10653	@sippycoups if it hurts too much to eat,i read somewhere that marshmallows are good bc they are soft and don't irritate	anger	0.375
2017-En-11640	the book im riteing about wots happond has made them moor angry but im not here to plese man or hide the eval deeds of some	anger	0.479
2017-En-10212	don't join @btcare they put the phone down on you,talk over you and are rude. taking money out of my acc willynilly!	anger	0.604
2017-En-10622	@sarahmi40605180 @kaileighhxo sorry to burst the bubble but there was never any illusion 🙈 😂 😂	anger	0.396
2017-En-10067	once again the only thing on my feed is naay raging about something and my brother filling in all the gaps	anger	0.750
2017-En-11127	@gielnorian @hedonismgaming cmode grimrail made me want to eat angry bees	anger	0.667
2017-En-10066	my mom cut my phone off and i'm so furious 🤗	anger	0.750
2017-En-11533	don't chase fame \ nif you're going \ nto resent it \ nwhen it starts \ nchasing you ' \ nwrdsmth	anger	0.542
2017-En-11449	i hate not having the answers i need. #tomourssuck #prayinsnotcancer #angry	anger	0.792
2017-En-11444	so excited to watch @rupaulsdragrace #allstars \ n #rupaul	anger	0.208
2017-En-10001	so my indian uber driver just called someone the n word. if i wasn't in a moving vehicle i'd have jumped out #disgusted	anger	0.896
2017-En-10368	#hudcomedy #adamrowe #insult slutfaceshlongnugget	anger	0.521
2017-En-11142	these na kids are relentless	anger	0.458
2017-En-10267	why mfs so bitter	anger	0.562
2017-En-10279	like hello? i am your first born you must always laugh at my jokes. #offended	anger	0.562
2017-En-10319	i really really resent having to go to bed at a sensible hour,you guys. i want to talk to my people.	anger	0.542
2017-En-11341	@thatant_ @football_pollss i have hit a lot of irate villa fans lol	anger	0.333
2017-En-10632	@st8edge4life88 eh well i can do the [Name] [Name] cactus loser leaves wcw match at bash at the beach lol	anger	0.396
2017-En-11085	i had golden ocean the other day it was lush,then i gagged and was sick... what a waste of £ 20 - i was fuming @emmagould_ i miss you	anger	0.688
2017-En-10648	[Name] wonder why [Name] [Name] listens to the show in the first place if you so incense them @msignorile	anger	0.375
2017-En-11171	thou wilt be as valiant as the wrathful dove,or most magnanimous mouse. [Name] shakesphere	anger	0.464
2017-En-11073	a black female leo 💙 was shot 8 times and died in philadelphia - - where's the #outrage black people? @barackobama #sharpton #blm #thefive	anger	0.583
2017-En-40574	now they fret about scuffs. i ’ ll take scuffs ( which … come in ) for a phone i can use wet handed or drop in a toilet any day.	anger	0.396
2017-En-41459	i need all your attention! if i don't i'll pout..	anger	0.479
2017-En-10649	i believe i'm gonna start singing in my snap stories on the tractor. switch it up a little bit.	anger	0.375
2017-En-10978	@thereval please tell us why ' protesting ' injustice requires #burning #beating and #looting terrible optics #toussaintromain is true leader!	anger	0.729
2017-En-11098	people you need to look up the definition of protest. what you are doing is not protesting is called vandalism. #stop	anger	0.688
2017-En-10997	bored rn leave kik / snapchat #kik #kikme #kikmessage #boredaf #bored #snapchatme #snapchat #country #countrygirl	anger	0.173
2017-En-10147	that feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave. #fume	anger	0.667
2017-En-11348	@riverajose39 happy birthday to my seed ‼ ️ ‼ ️ ‼ ️ #renewtherivalry #imyourdaddy #cantbeatme #madden #tater	anger	0.138
2017-En-11237	@strangerpeace we'll have a ceremony next time we meet. it'll involve burning something,then possibly booze and / or caffeine.	anger	0.396
2017-En-11204	@douglas_nat @one11north i need it today! do u know how many fuckin french plaits i had to do this morn with a stroppy 9 yr old!	anger	0.729
2017-En-11229	a 28 yr old man threw a saucepan of boiling water at a garda,& then hit the garda with the shaft of a brush... letterkenny district court.	anger	0.406
2017-En-11116	jv girls earn the w [Name] stonington 2-1 today. goals by k [Name] and s [Name]. @deluciaalexis 1 assist. @mhseccathletics	anger	0.292
2017-En-11274	@bt_uk broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin	anger	0.646
2017-En-10079	what the fuck am i supposed to do with no lunch,no dinner,no money and i'm off to work #hangry #day5	anger	0.729
2017-En-10551	@hoytschile fury road!!	anger	0.438
2017-En-10775	i wish the next madden has a story mode too. just like fifa 17	anger	0.292
2017-En-11571	i already gets aggravated too fast like why aggravate me on purpose?	anger	0.604
2017-En-11199	yo gurls dm for a tribute 😜 💦 #snapme #dm #nudes #tribute #cumtribute #cock #snap #cum #swallow	anger	0.271
2017-En-10670	@stoozyboy1 @chris_sutton73 😂 😂 oh the zombie rage 😂	anger	0.375
2017-En-11424	circle k is dead to me. i hate your new slushie machine. #livid	anger	0.750
2017-En-11633	@emmahobbs1 i did that! 3 days later my order isn't even in the same postcode as me #fuming	anger	0.667
2017-En-11441	@southernrailuk delays from streatham cmn to clap junc & now train took 20 mins for 9 mins journey. missed 2 trains to reading #fuming	anger	0.628
2017-En-11136	we are raging angry. = 1/2 bil $ for 2 pro liars. ( actors ) the most useless people in america where is ours for working 100 x harder? @foxnews	anger	0.667
2017-En-31557	never #make a decision when you are.. #angry > _ <... and never make a #promis when you are #happy :): *	anger	0.521
2017-En-11032	i almost feel offended that they thinks that's a big deal. she's knows i'll literally do anything for their or [Name].	anger	0.583
2017-En-10839	grateful for all the hungry people in my life! hungry to learn,change,grow,help,etc - not sure anybody has it better! #relentless	anger	0.167
2017-En-11303	@un_women @justintrudeau @canadianpm trudeau endulging on outrage culture once again. preaching issues ad hominem,but never quanitfying them	anger	0.500
2017-En-10203	i just wanna know why there's no outrage for black on black crime and no one knows those victims but blm is out to kill cops based on media	anger	0.625
2017-En-10435	i don't even #feel #anger anymore can't explain it.. #tulsa #charlotte #trayvon #sandrabland #philando #ferguson #batonrouge #michaelbrown	anger	0.479
2017-En-10612	because you offended by the lies of [Name] [Name] doesn't mean that i'm [Name] friend or anything else. purely a fishin expedition.	anger	0.427
2017-En-10330	@enca what they should be doing is directing their anger to the thieves in government... #corruption #feesmustfall	anger	0.542
2017-En-11526	okay you've annoyed me,you haven't done a good job there at all. #furious	anger	0.673
2017-En-11350	what u do wen ur love cheats on u? wen thy don't understand the emotions behind the anger,the constant waiting.. what u do? @ritujai18874	anger	0.458
2017-En-11404	@lowetide there is no room for jokes in hockey! this is a serious business where we made up teams to fill out the tournament! #outrage	anger	0.646
2017-En-11614	@atheist_taco @drjillstein: ^ ) well cucks among their ranks agree equally about their outrage of black youths shot and harambe.	anger	0.542
2017-En-11351	@brian5or6 turn that shit off! home button under accessibility. \ n \ nwhen did innovation become mind fuckery? #rage. #iphonephonehome	anger	0.667
2017-En-10170	ever put your fist through your laptops screen? if so its time for a new one lmao #rage #anger #hp	anger	0.646
2017-En-11078	[Name] playing big river outside the bridges in sr1 #outrage	anger	0.500
2017-En-40683	“ do not fret if you are not cool! humans who follow me,become instantly cool! ” #bot	anger	0.375
2017-En-40865	@spamvicious i've just found out it's [Name] and not [Name]. they can pout all they likes for me 😍	anger	0.271
2017-En-10570	controlling #anger is a sign of those #righteous people promised #paradise in the #quran in surah al imran verses 133-134 #reward #gooddeed	anger	0.417
2017-En-10282	and apparently [Name] supposed to have a scottish accent??? i'm #offended	anger	0.562
2017-En-40444	[Name] on great british bake off with that pout does my head in 👊 🏻 🙄	anger	0.583
2017-En-11176	@remedy0_ switch host no bullet rage.	anger	0.396
2017-En-30829	@casper10666 i assure you there is no laughter,but increasing anger at the costs,and arrogance of westminster.	anger	0.604
2017-En-10545	@bismahmalik... seems like a fight ready to rage on...	anger	0.438
2017-En-10671	prayers & protection to our brothers and sisters fighting in #charlotte #rage #against #machines	anger	0.375
2017-En-11410	gonna eat,pick up my brother,get my car washed & finally go home ressssst & watch all fast & furious movies 🤘 🏼	anger	0.250
2017-En-10824	630am meeting olympic house #10golds24. #relentless #neverquit #believe #dreambig #teamtto #going4gold	anger	0.208
2017-En-11021	@rohan_connolly i think your high-profile female colleague would be one in yhat category... #massexodus	anger	0.521
2017-En-10851	@corningfootball it's game day!!! t minus 14:30	anger	0.125
2017-En-11022	@rohan_connolly i think your high-profile female colleague would be one in yhat category... #massexodus #bitter	anger	0.396
2017-En-11051	if u have time 2 open a snap,u have time 2 respond	anger	0.375
2017-En-41283	@chriswarcraft species cf. [Name] jr. refugees / skittles.know they likes their snacks,but even @gop frown on talking about eating humans #lizardscum	anger	0.458
2017-En-11067	ok but how are the fast & furious movies not classified as comedy's? 🤔	anger	0.292
2017-En-10351	@tilltheendmmvi i accidetly dumped boiling water my myself 😫	anger	0.521
2017-En-10642	one month til someone's bday and i think it's time to flaunt that i got them something pretty awesome #revenge	anger	0.435
2017-En-10084	but that was a mistake and a half assed excuse and now here i am burning in [Name] forever	anger	0.729
2017-En-40724	anyway i'm in a car with a furious white men and i have a really funny story to tell when i'm sober 😂	anger	0.333
2017-En-10979	@xboxmad @robotbrush ballmer will be furious. another delivery lost...	anger	0.500
2017-En-10615	@starflowerz17 @dreamerabe #bitter. [Name] and [Name] is why they was evicted.	anger	0.396
2017-En-10659	the best revenge is massive success. – [Name] sinatra	anger	0.375
2017-En-11135	#adp's #ezlabor web portal has to be the slowest web app i have ever had the displeasure of using!!	anger	0.729
2017-En-10240	@unitedfrontrev @juandeznuts @lucidhurricane_ sex offense happens across all races,cultures,and creeds & they should be castrated	anger	0.629
2017-En-11406	good luck to all fury-haney players playing this weekend at the future stars showcase in frisco,tx. #kgb #g-town	anger	0.271
2017-En-10500	@paulbushnell25 @ee bad news if ordered online it hasn't gone through same happened to me had to re order on the phone	anger	0.458
2017-En-40131	@hannahfjames i'm distraught! 😭 [Name] and their pout can piss off	anger	0.625
2017-En-10809	tonight's #dragrace #allstars2 episode gave me life! yaassss queens! #teamalaska #teamkatya #bwahaha	anger	0.250
2017-En-11336	i've never seen fast & furious tokyo drift. [Name] watch it	anger	0.229
2017-En-10652	also other ppl who i love a whole damn lot ; erica,joanna,tiff,sirli,harley,anja,( the rest of the gc bc i ran out of chara! )	anger	0.375
2017-En-41196	the ghost of [Name] reflects on the grim indignity of being murdered by corrupt cops in faux love. #days	anger	0.521
2017-En-11534	@lericoo 35. do you hold a grudge against your ex?	anger	0.263
2017-En-10440	@evanareteos :) ) im now writing abt the changing face of sex industry in tr :) ) ) now men will talk to me then! #revenge	anger	0.479
2017-En-11512	how on earth can the projection of all that is good and happy and true in my soul be a poisonous fucking snake? #patronus #adder	anger	0.667
2017-En-11182	nothing more entertaining and frightening than a #bitter #alcoholic trying desperately to get your attention...	anger	0.479
2017-En-10233	@luxbet did you even give out any pizzas? serious fail #hungry #furious #hangry	anger	0.447
2017-En-10179	@vodafoneukhelp @vodafoneuk wow!! my bill is £ 44.77 and hav a text from u to prove that and you have taken £ 148!!! #swines #con!	anger	0.646
2017-En-11471	goddamn headache.	anger	0.646
2017-En-11540	i either look like a raging bitch,or i'm obnoxiously laughing at something not that funny. i don't think there's any middle ground.	anger	0.481
2017-En-11398	@esraalajmy huff btw ty 😔	anger	0.375
2017-En-10002	@dpd_uk i asked for my parcel to be delivered to a pick up store not my address #fuming #poorcustomerservice	anger	0.896
2017-En-11178	my back is starting to irritate me and it's barely 2:19 😓	anger	0.417
2017-En-10490	take public opinion on revenge with pakistan if govt is unable to decide. @aajtak @timesnow @narendramodi	anger	0.458
2017-En-11628	@apple thanks for ios 10 update,even the best app @telegram freezing and crashing on se.	anger	0.375
2017-En-10636	new madden kicking 🚮	anger	0.396
2017-En-10533	@clarechampion @westclarepage and peter your radio piece on off the ball was pure class,no digs,no revenge,a total balanced pro! 👏 👏 👏	anger	0.438
2017-En-11403	@tttinplay nice. why are u fuming then 😂	anger	0.312
2017-En-10853	@jaaames1993 literally burst out laughing.	anger	0.067
2017-En-10505	egyptian officials expressed frustration and outrage over the [Name] / [Name] administration ’ s support of the muslim brotherhood	anger	0.579
2017-En-11335	just watching crimewatch what kind of sick fuck touches 6 year olds 😡 😡 😡 shit like this makes me fume!!!	anger	0.688
2017-En-10937	@gayla_weeks1 i try not to let my anger seep into reviews,but i resent having my time wasted on books like that. time is precious.	anger	0.625
2017-En-10060	@lynnew69 then they said talking about wills uncontrollable animals when moving to another link. these comments do not help! #fuming	anger	0.750
2017-En-10462	my baskets are better when i'm in a bad mood someone irritate me before practice please	anger	0.479
2017-En-10909	i miss my gran singing [Name],in their deep baritone growl.	anger	0.292
2017-En-10034	@bringyouhome2 i'm about to fly into a fit of rage it's not fair	anger	0.792
2017-En-11647	you insult the late [Name] martel	anger	0.333
2017-En-11087	no offense but to the ppl out there using creams to build your glutes... come on. go squat and what not.	anger	0.542
2017-En-11445	@tomwilcox77 @mattgrime fuming	anger	0.729
2017-En-10426	@healeyraine i'm offended,i actually am	anger	0.479
2017-En-10764	don't be bitter	anger	0.292
2017-En-11532	#indiamissingindira that they could never solve kashmir problem and kept it burning for vote bank \ n #terrorstatepak	anger	0.458
2017-En-40665	i love the word fret so much and im in heaven	anger	0.127
2017-En-10318	i'm not saying they might be like big foot but it might be like natural biological father says blood boiling if they cross	anger	0.542
2017-En-10474	puzzle investing opening portland feodal population is correlative straight a snorting infuriate: xlzjyhg	anger	0.458
2017-En-11156	@foxnews #poor = #angry and justly so. offer people some hope! my [Name],does anyone see this?! #education should not be for the #elite	anger	0.750
2017-En-10595	@thedtsb @trubble1127 @nflnetwork i agree but our offense was ass after the second half td score on the first drive	anger	0.417
2017-En-10226	just paid for chicken at @panerabread and didn't even get any 😑 😑 😑 there goes 4 dollars and me as a customer	anger	0.604
2017-En-11317	[Name] told me i look like [Name] [Name]. #insult or #compliment	anger	0.542
2017-En-10086	@hollyrobinson__ part 2 - was buzzing for a cheeky squashie or two-this was not what i expected.sort it out! #food #angry @coopuk @coopukfood	anger	0.538
2017-En-11442	@southernrailuk delays from streatham cmn to clap junc & now train took 20 mins for 9 mins journey. missed 2 trains to reading	anger	0.583
2017-En-10255	@cc_yandian @hillaryclinton their team must draw from a hat for daily personality #drugged #angry #yeller #quiet #screamer # 😂 😂	anger	0.583
2017-En-11407	@marktobyrne i offered @wholefoods @amazon @cheapair gold or silver but they said nah... #bitcoin #snap	anger	0.521
2017-En-11013	you offend me,@tansorma	anger	0.542
2017-En-11543	@rosskemp watching on + 1. i would have been straight out of there with the guy who was getting irate! #extremeworld	anger	0.562
2017-En-11313	my dogs making the most ridiculous sounds right now its like a high pitched gargle-y growl	anger	0.333
2017-En-10035	unbelievable takes 10 minutes to get through to @barclaysuk then there's a fault and the call hangs up #fuming #treatcustomersfairly	anger	0.792
2017-En-10418	@agenttinsley i believe that's what you call the fury of the righteous.	anger	0.500
2017-En-11109	got a $ 20 tip from a drunk uber passenger. today i get a $ 25 parking ticket. i'd blame karma but my dumb ass forgot to pay the meter.	anger	0.729
2017-En-10395	if i spend more than £ 10 in shimmy on £ 1 drinks i'll be raging,but we all know it's gonna happen	anger	0.500
2017-En-10025	actually fuming i have nothing to wear saturday	anger	0.792
2017-En-10030	this fuck you is boiling up inside,its not gonna be good when i let it out.	anger	0.792
2017-En-11576	who the [Name] is drilling outside my house?! literally got to sleep at half four after a busy shift and these twats have woken me up	anger	0.976
2017-En-10598	if you let a general tweet offend you,you definitely shouldn't be on twitter.	anger	0.417
2017-En-10277	@juliahb1 bloody right	anger	0.562
2017-En-11152	@kjwinston11 2. the n-word. but i think all afr-am are entitled to it: we shouldn't take away from them the insult they have claimed back.	anger	0.583
2017-En-10682	i can't guess if you holding a grudge against the best '	anger	0.425
2017-En-11048	#scorpio always seek revenge!	anger	0.583
2017-En-10455	@kim_is__bored exactly what i have been saying on fb.. #bitter	anger	0.479
2017-En-10390	didn't think cadres not getting src deployment would make some cadres so bitter,[Name] tough macom.	anger	0.500
2017-En-11583	@bi_science opioid rapid pill plague... speed generations pulse rapid rabid impairment ist choice stacked usage [Name] street ingestion demo us	anger	0.562
2017-En-10117	angry already	anger	0.688
2017-En-11579	@bassekraah. @sunilddesai @jyoti1013 @archnahr. a2: #irritation and isolation #lifenabler	anger	0.542
2017-En-10459	@metpolicefc is it true none of your players are cops? do they drink chilled bitter? are your players [Name] [Name] types? @keviboyallen	anger	0.479
2017-En-10268	im on holiday for the next round,fuming!	anger	0.562
2017-En-40898	if someone keeps #laughing at you,don't #fret. at least u r giving #happiness. ' \ n #quotes #quotestoliveby	anger	0.229
2017-En-10901	you're so thirsty for the chance to disagree w / the left,that you don't even realize when something is an affront to your bigoted platform.	anger	0.500
2017-En-10833	kik me i want to swap pics i will post on my account anonymously if you wish kik: vsvplou #kik #kikme #nudes #tits #snapchat	anger	0.188
2017-En-10572	the 1975 are playing antichrist why won't @sundarakarma play hustle it's an outrage	anger	0.417
2017-En-11381	very little frustrates me as much as misplacing something. been looking for my keys for 2 hours now #rage	anger	0.771
2017-En-10507	@fleetstreetfox it's buzzing pathetically for sympathy if you let it out it will twirl it's moustache,chuckle and [Name] you #psychowasp	anger	0.458
2017-En-10986	can't believe @virginmedia are putting their prices up!! they already know i'm struggling to pay my bill & won't change my package!! #raging	anger	0.755
2017-En-10593	some [Name] on the train who's obviously trying to provoke west ham fans by loudly slagging off the stadium to their mate on the phone	anger	0.434
2017-En-10470	british humour should offend and challenge mainstream views. hat off to [Name]. the ultra left should go and kneel before [Name]!!	anger	0.479
2017-En-11637	@matthew_meadows since it's a friend of [Name] i don't want to offend :) #peace	anger	0.339
2017-En-10237	they're like the rape apologists who ( inadvertently? ) make men sound like rabid,mindless beasts. with friends like these...	anger	0.583
2017-En-10132	@soyoprincess they irritate me. them and their inch thick made up masks	anger	0.667
2017-En-11279	@americanair i am irate at you check-in system. i have tried to checkin all day and it wouldn't let me do it because i had no seat assigned	anger	0.729
2017-En-11367	imagine celtic burst the net wae every attempt,but nutt same old dain it hard way usual	anger	0.312
2017-En-10121	someone let snakes in my house,i bet it @ya_boi_huck i kill that bugger when i get my hands on them #huckfp2	anger	0.764
2017-En-11119	y'all bitches be so angry and bitter,that must truly suck lol	anger	0.708
2017-En-10027	bloody parking ticket 😒 💸 #fuming	anger	0.792
2017-En-11319	boys dm me pictures of your cocks! the best one will get uploaded! ☺ ️ 💦 💦 #cumtribute #dm #snapchat #snapme #nudes #dickpic #cocktribute	anger	0.396
2017-En-11347	@riverajose39 happy birthday to my seed ‼ ️ ‼ ️ ‼ ️ #renewtherivalry #imyourdaddy #cantbeatme #tater	anger	0.375
2017-En-11342	@jamiesmart huh! it's always my fault isn't it >:( #sulk	anger	0.646
2017-En-10491	@cxmbeferre so you wouldnt date me???	anger	0.458
